45_d500_100_0_badger_2020-02-01,45_d500_124_0_badger_2012-07-01,45_d500_124_1_badger_2011-10-01,45_d500_152_0_badger_2008-03-01,45_d500_152_1_badger_2008-10-01,45_d500_156_0_badger_2015-11-01,45_d500_159_855_0_badger_2018-07-01,45_d500_159_855_1_badger_2020-02-01,45_d500_160_0_badger_2009-03-01,45_d500_162_0_badger_2016-02-01,45_d500_168_0_badger_2012-09-01,45_d500_168_1_badger_2015-06-01,45_d500_168_2_badger_2014-04-01,45_d500_169_0_badger_2015-07-01,45_d500_171_0_badger_2012-04-01,45_d500_175_0_badger_2011-03-01,45_d500_175_1_badger_2020-02-01,45_d500_176_0_badger_2013-09-01,45_d500_176_1_badger_2020-02-01,45_d500_177_0_badger_2012-08-01,45_d500_178_0_badger_2014-09-01,45_d500_178_1_badger_2014-06-01,45_d500_180_0_badger_2014-10-01,45_d500_180_1_badger_2018-11-01,45_d500_180_2_badger_2012-11-01,45_d500_180_3_badger_2017-06-01,45_d500_33_0_badger_2019-01-01,45_d500_33_1_badger_2019-08-01,45_d500_33_2_badger_2020-02-01,45_d500_37_586_0_badger_2018-09-01,45_d500_57_687_0_badger_2013-12-01,45_d500_59_0_badger_2020-02-01,45_d500_91_0_badger_2020-02-01,45_d500_91_1_badger_2020-02-01,45_d500_91_2_badger_2018-08-01,45_d500_99_766_0_badger_2011-10-01,45_d500_99_766_1_badger_2010-03-01,45_d500_99_766_2_badger_2010-11-01,45_d500_99_766_3_badger_2012-05-01,45_d500_99_766_4_badger_2010-05-01,45_d500_99_766_5_badger_2014-07-01,45_d500_99_766_6_badger_2016-08-01,45_d500_99_766_7_badger_2015-06-01,45_d500_99_766_8_badger_2014-03-01,45_d500_99_839_1_badger_2007-08-01,45_d500_99_839_2_badger_2016-09-01,49_d500_10_0_badger_2018-03-01,49_d500_10_1_badger_2020-02-01,49_d500_10_2_badger_2020-02-01,49_d500_10_3_badger_2019-05-01,49_d500_9_1545_0_badger_2017-10-01,64075028_0_cattle_2018-12-01,64075028_1_cattle_2019-01-01,64075_1_boar_2020-02-01,64075_3_boar_2020-02-01,64172002_0_cattle_2020-02-01,64201002_0_cattle_2013-07-01,64201014_0_cattle_2012-05-01,64201014_1_cattle_2012-05-01,64201014_2_cattle_2012-02-01,64201021_0_cattle_2012-05-01,64201021_1_cattle_2012-07-01,64201021_2_cattle_2012-05-01,64281001_0_cattle_2009-03-01,64281001_1_cattle_2009-03-01,64281001_2_cattle_2009-05-01,64281001_3_cattle_2009-05-01,64281001_4_cattle_2009-03-01,64281001_5_cattle_2009-05-01,64281001_6_cattle_2014-04-01,64281001_7_cattle_2014-06-01,64281001_8_cattle_2014-04-01,64281003_0_cattle_2010-10-01,64281003_10_cattle_2010-11-01,64281003_11_cattle_2010-11-01,64281003_12_cattle_2010-11-01,64281003_13_cattle_2012-12-01,64281003_14_cattle_2016-02-01,64281003_15_cattle_2016-02-01,64281003_16_cattle_2016-02-01,64281003_17_cattle_2016-06-01,64281003_18_cattle_2016-02-01,64281003_1_cattle_2010-11-01,64281003_2_cattle_2010-11-01,64281003_3_cattle_2010-11-01,64281003_4_cattle_2010-08-01,64281003_5_cattle_2010-11-01,64281003_6_cattle_2010-11-01,64281003_7_cattle_2010-11-01,64281003_8_cattle_2010-11-01,64281003_9_cattle_2010-11-01,64281_0_boar_2009-11-01,64281_1_boar_2010-10-01,64281_2_boar_2015-11-01,64312028_0_cattle_2020-02-01,64312028_1_cattle_2020-02-01,64349001_0_cattle_2019-06-01,64349001_10_cattle_2019-07-01,64349001_11_cattle_2020-02-01,64349001_12_cattle_2019-12-01,64349001_13_cattle_2019-09-01,64349001_1_cattle_2019-06-01,64349001_2_cattle_2019-06-01,64349001_3_cattle_2019-06-01,64349001_4_cattle_2019-03-01,64349001_5_cattle_2019-06-01,64349001_6_cattle_2019-06-01,64349001_7_cattle_2019-09-01,64349001_8_cattle_2019-09-01,64349001_9_cattle_2019-09-01,64349013_0_cattle_2018-06-01,64349013_1_cattle_2018-02-01,64349021_0_cattle_2020-02-01,64349021_1_cattle_2020-02-01,64349068_0_cattle_2015-07-01,64349068_1_cattle_2015-07-01,64349068_2_cattle_2015-07-01,64349068_3_cattle_2015-06-01,64349068_4_cattle_2015-07-01,64349_0_boar_2013-09-01,64349_10_boar_2016-11-01,64349_11_boar_2015-03-01,64349_12_boar_2020-02-01,64349_13_boar_2016-09-01,64349_14_boar_2019-04-01,64349_15_boar_2018-01-01,64349_16_boar_2017-09-01,64349_17_boar_2015-12-01,64349_18_boar_2016-08-01,64349_1_boar_2017-04-01,64349_20_boar_2019-03-01,64349_21_boar_2018-02-01,64349_22_boar_2019-05-01,64349_23_boar_2019-08-01,64349_24_boar_2020-02-01,64349_25_boar_2019-02-01,64349_26_boar_2018-09-01,64349_27_boar_2019-11-01,64349_28_boar_2019-11-01,64349_29_boar_2020-02-01,64349_2_boar_2015-05-01,64349_30_boar_2019-01-01,64349_31_boar_2020-02-01,64349_32_boar_2019-10-01,64349_33_boar_2020-02-01,64349_34_boar_2020-02-01,64349_35_boar_2020-02-01,64349_36_boar_2020-02-01,64349_37_boar_2019-10-01,64349_38_boar_2020-02-01,64349_39_boar_2020-02-01,64349_3_boar_2014-05-01,64349_40_boar_2020-02-01,64349_41_boar_2020-02-01,64349_42_boar_2020-02-01,64349_43_boar_2019-07-01,64349_44_boar_2019-09-01,64349_45_boar_2020-02-01,64349_47_boar_2020-02-01,64349_4_boar_2015-01-01,64349_5_boar_2014-10-01,64349_6_boar_2016-02-01,64349_7_boar_2014-08-01,64349_8_boar_2015-07-01,64349_9_boar_2016-06-01,64359001_0_cattle_2020-02-01,64359001_1_cattle_2020-02-01,64359005_0_cattle_2020-02-01,64359008_0_cattle_2018-05-01,64359008_1_cattle_2018-03-01,64359008_2_cattle_2018-03-01,64359008_3_cattle_2018-03-01,64359008_4_cattle_2018-03-01,64359008_5_cattle_2018-03-01,64359008_6_cattle_2018-03-01,64359008_7_cattle_2018-03-01,64359008_8_cattle_2018-03-01,64359008_9_cattle_2018-05-01,64359015_0_cattle_2016-02-01,64359015_1_cattle_2018-03-01,64359023_0_cattle_2020-02-01,64359024_0_cattle_2019-12-01,64359056_0_cattle_2018-01-01,64359061_0_cattle_2020-02-01,64359108_0_cattle_2015-11-01,64359108_1_cattle_2015-12-01,64359108_2_cattle_2018-07-01,64359108_3_cattle_2018-03-01,64359108_4_cattle_2018-01-01,64359108_5_cattle_2019-01-01,64359108_6_cattle_2019-01-01,64359110_0_cattle_2016-12-01,64359110_1_cattle_2016-12-01,64359110_2_cattle_2017-02-01,64359110_3_cattle_2017-02-01,64359110_4_cattle_2019-07-01,64359110_5_cattle_2019-12-01,64359110_6_cattle_2020-02-01,64359138_0_cattle_2019-03-01,64359142_0_cattle_2019-01-01,64359142_1_cattle_2019-01-01,64359149_0_cattle_2014-07-01,64359149_1_cattle_2018-12-01,64359149_2_cattle_2019-02-01,64359149_3_cattle_2019-02-01,64359149_4_cattle_2019-02-01,64359170_0_cattle_2020-02-01,64359173_0_cattle_2020-02-01,64359173_1_cattle_2019-03-01,64359187_0_cattle_2018-03-01,64359187_1_cattle_2018-03-01,64359187_2_cattle_2018-03-01,64359187_3_cattle_2018-03-01,64359187_4_cattle_2019-11-01,64359200_0_cattle_2020-02-01,64359204_0_cattle_2018-04-01,64359204_1_cattle_2019-02-01,64359204_2_cattle_2018-12-01,64359204_3_cattle_2018-12-01,64359204_4_cattle_2019-02-01,64359204_5_cattle_2018-12-01,64359204_6_cattle_2019-02-01,64359225_0_cattle_2019-12-01,64359_0_boar_2018-03-01,64359_10_boar_2020-02-01,64359_11_boar_2020-02-01,64359_12_boar_2020-02-01,64359_14_boar_2020-02-01,64359_15_boar_2020-02-01,64359_1_boar_2018-06-01,64359_2_boar_2017-10-01,64359_3_boar_2020-02-01,64359_4_boar_2020-02-01,64359_5_boar_2020-02-01,64359_6_boar_2020-02-01,64359_7_boar_2019-07-01,64359_8_boar_2019-03-01,64359_9_boar_2019-05-01,64393_1_boar_2017-11-01,64393_2_boar_2017-12-01,64393_4_boar_2020-02-01,64416_2_boar_2010-12-01,64416_3_boar_2014-01-01,64420009_0_cattle_2014-01-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420012_0_cattle_2010-12-01,64420012_10_cattle_2010-12-01,64420012_11_cattle_2010-12-01,64420012_12_cattle_2010-12-01,64420012_13_cattle_2010-12-01,64420012_14_cattle_2010-12-01,64420012_15_cattle_2010-12-01,64420012_16_cattle_2010-12-01,64420012_17_cattle_2010-12-01,64420012_18_cattle_2010-12-01,64420012_19_cattle_2010-12-01,64420012_1_cattle_2010-12-01,64420012_20_cattle_2010-12-01,64420012_21_cattle_2010-12-01,64420012_2_cattle_2010-12-01,64420012_3_cattle_2009-05-01,64420012_4_cattle_2010-12-01,64420012_5_cattle_2010-12-01,64420012_6_cattle_2010-12-01,64420012_7_cattle_2010-12-01,64420012_8_cattle_2010-11-01,64420012_9_cattle_2010-12-01,64420015_0_cattle_2007-12-01,64420028_0_cattle_2013-05-01,64420028_1_cattle_2013-05-01,64420028_2_cattle_2013-05-01,64420028_3_cattle_2013-05-01,64420028_4_cattle_2013-04-01,64420028_5_cattle_2013-07-01,64420035_0_cattle_2015-02-01,64420035_10_cattle_2014-12-01,64420035_11_cattle_2015-02-01,64420035_12_cattle_2015-02-01,64420035_13_cattle_2015-02-01,64420035_14_cattle_2015-02-01,64420035_15_cattle_2015-02-01,64420035_16_cattle_2015-02-01,64420035_17_cattle_2015-04-01,64420035_18_cattle_2015-04-01,64420035_19_cattle_2015-04-01,64420035_1_cattle_2015-02-01,64420035_20_cattle_2015-04-01,64420035_21_cattle_2015-04-01,64420035_22_cattle_2015-04-01,64420035_23_cattle_2019-02-01,64420035_2_cattle_2015-04-01,64420035_3_cattle_2015-04-01,64420035_4_cattle_2015-04-01,64420035_5_cattle_2015-02-01,64420035_6_cattle_2015-04-01,64420035_7_cattle_2015-02-01,64420035_8_cattle_2014-12-01,64420035_9_cattle_2015-02-01,64420047_0_cattle_2013-02-01,64420047_1_cattle_2013-02-01,64420047_2_cattle_2013-04-01,64449010_0_cattle_2018-12-01,64556034_0_cattle_2014-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033193361327734365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10157968406318837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.023195360927814386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.014197160567886403,0,0,0.03519296140771836,0.07898420315936844,0.7626474705058492,0.03919216156768635,0.09978004399120272,0,0.0019996000799840027,0.0017996400719856025,0,0.0161967606478704,0,0.03539292141571676,0,0.004399120175964808,0.02579484103179358,0,0,0.014397120575884803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06618676264747042,0,0,0,0,0,0,0,0,0.0687862427514497,0.008798240351929614,0.0687862427514497,0.03019396120775837,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0,0,0.11857628474305293,0.10197960407918519,0.04539092181563674,0.09798040391921706,0.06978604279144174,0.02159568086382719,0.007998400319936016,0.04519096180763834,0,0,0,0.008398320335932815,0,0.02179564087182559,0.026994601079783978,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20535892821436136,0,0,0,0,0,0,0,0.1637672465506928,0,0.024995000999799982,0.22115576884623547,0.05858828234353111,0.010397920415916811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04059188162367515,0.001399720055988802,0,0.09078184363127442,0.002199560087982403,0,0.007398520295940815,0,0,0,0,0,0,0.45210957808436697,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0.0035992801439712063,0.0023995200959808036,0,0.0023995200959808036,0.012997400519896006,0.01099780043991201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0.12257548490302106,0.11817636472705612,0.0655868826234752,0.11057788442311667,0.08818236352729514,0.03659268146370716,0.013797240551889604,0.051789642071585526,0,0,0,0.0027994401119776045,0,0.037792441511697555,0.028594281143771175,0,0,0.014197160567886403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22935412917417014,0,0,0,0,0,0,0,0.1973605278944251,0.25354929014197686,0.019396120775844794,0,0.12357528494301309,0.014997000599880001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06298740251949592,0.0015996800639872023,0,0.04879024195160953,0.001399720055988802,0,0.26314737052589904,0,0,0,0,0,0,0.019596080783843194,0.4285142971405583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002999400119976005,0,0.05598880223955192,0,0,0.31093781243751156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4227154569086053,0,0,0,0,0,0,0,0.2035592881423757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747850429914019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07438512297540509,0,0,0,0,0,0,0,0,0,0,0,0,0.013997200559888004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013197360527894405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807838432313541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07438512297540509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03499300139971996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009198160367926414,0.018996200759847995,0.004199160167966408,0.007398520295940815,0.2155568886222801,0.014997000599880001,0.01059788042391521,0.23595280943811756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05878824235152951,0.06398720255948795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038392321535692754,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017596480703859198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061987602479503905,0,0.047990401919615934,0.09978004399120272,0.07238552289542102,0.15636872625475176,0.024395120975804784,0.06438712257548476,0.08938212357528558,0,0.007598480303939215,1.999600079984003e-4,0,0,9.998000399920016e-4,0,0.002199560087982403,0.002199560087982403,0,1.999600079984003e-4,0,0.0019996000799840027,0,0.03999200159967995,0.14437112577484737,0.04459108178364314,0.047990401919615934,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2815436912617499,0,0.0049990001999600095,5.998800239952009e-4,0.0037992401519696068,0.0011997600479904018,0,0,0,0,0,0,0,0,0.029794041191761572,0.012397520495900807,0,0,0,0,0,0.002199560087982403,0,0.0015996800639872023,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
