23_d500_44_0_badger_2017-05-01,2_d500_69_2279_0_badger_2019-08-01,30_d500_87_0_badger_2015-06-01,3_d500_125_0_badger_2013-11-01,3_d500_128_0_badger_2013-07-01,3_d500_147_0_badger_2020-02-01,3_d500_148_0_badger_2016-04-01,3_d500_149_0_badger_2018-07-01,3_d500_149_1_badger_2017-07-01,3_d500_149_2_badger_2013-05-01,3_d500_152_0_badger_2016-08-01,3_d500_152_1_badger_2017-05-01,3_d500_154_1006_0_badger_2020-02-01,3_d500_167_0_badger_2017-06-01,3_d500_168_1232_0_badger_2019-08-01,3_d500_169_0_badger_2020-02-01,3_d500_169_1_badger_2019-07-01,3_d500_170_0_badger_2017-05-01,3_d500_170_1_badger_2019-07-01,3_d500_170_2_badger_2014-09-01,3_d500_170_3_badger_2018-11-01,3_d500_171_1242_0_badger_2016-02-01,3_d500_171_1242_1_badger_2016-06-01,3_d500_171_1242_2_badger_2019-07-01,3_d500_171_1242_3_badger_2020-02-01,3_d500_171_1242_4_badger_2020-02-01,3_d500_173_0_badger_2020-02-01,3_d500_173_1_badger_2017-10-01,3_d500_186_0_badger_2015-12-01,3_d500_187_0_badger_2017-02-01,3_d500_187_1_badger_2020-02-01,3_d500_187_2_badger_2017-06-01,3_d500_192_0_badger_2020-02-01,3_d500_192_1_badger_2018-07-01,3_d500_192_2_badger_2018-08-01,3_d500_197_0_badger_2015-06-01,3_d500_204_0_badger_2017-11-01,3_d500_263_0_badger_2014-09-01,3_d500_268_0_badger_2015-11-01,40007001_0_cattle_2015-12-01,40007040_0_cattle_2014-05-01,40007040_1_cattle_2014-05-01,40007040_2_cattle_2014-03-01,40007040_3_cattle_2014-03-01,40007040_4_cattle_2014-03-01,40007040_5_cattle_2014-05-01,40007040_6_cattle_2014-05-01,40007040_7_cattle_2014-03-01,40007040_8_cattle_2014-05-01,40007_10_boar_2020-02-01,40007_11_boar_2017-12-01,40007_12_boar_2020-02-01,40007_13_boar_2020-02-01,40007_2_boar_2014-06-01,40007_3_boar_2016-08-01,40007_4_boar_2014-03-01,40007_5_boar_2015-02-01,40007_6_boar_2015-10-01,40007_7_boar_2016-06-01,40007_9_boar_2020-02-01,40027008_0_cattle_2016-01-01,40027008_1_cattle_2016-03-01,40027009_0_cattle_2012-05-01,40027009_1_cattle_2011-09-01,40027009_2_cattle_2012-05-01,40027009_3_cattle_2012-04-01,40027009_4_cattle_2012-05-01,40027009_5_cattle_2012-05-01,40027009_6_cattle_2013-12-01,40027_0_boar_2017-03-01,40027_1_boar_2016-05-01,40027_2_boar_2017-06-01,40027_3_boar_2015-09-01,40027_4_boar_2015-12-01,40069028_0_cattle_2013-10-01,40188008_0_cattle_2014-08-01,40188008_10_cattle_2014-08-01,40188008_11_cattle_2014-08-01,40188008_12_cattle_2014-08-01,40188008_13_cattle_2014-08-01,40188008_14_cattle_2014-08-01,40188008_15_cattle_2014-08-01,40188008_16_cattle_2014-08-01,40188008_17_cattle_2014-08-01,40188008_18_cattle_2014-08-01,40188008_19_cattle_2014-08-01,40188008_1_cattle_2014-08-01,40188008_20_cattle_2014-08-01,40188008_21_cattle_2014-08-01,40188008_22_cattle_2014-08-01,40188008_23_cattle_2014-08-01,40188008_24_cattle_2014-08-01,40188008_2_cattle_2014-08-01,40188008_3_cattle_2014-08-01,40188008_4_cattle_2014-08-01,40188008_5_cattle_2014-08-01,40188008_6_cattle_2014-07-01,40188008_7_cattle_2014-08-01,40188008_8_cattle_2014-08-01,40188008_9_cattle_2014-08-01,40188_0_boar_2013-07-01,40188_1_boar_2013-06-01,40188_2_boar_2012-11-01,40188_3_boar_2015-05-01,40188_4_boar_2016-10-01,40188_5_boar_2019-09-01,40188_6_boar_2016-07-01,40223027_0_cattle_2013-06-01,40223027_1_cattle_2018-05-01,40223027_2_cattle_2018-09-01,40223_0_boar_2016-03-01,40223_2_boar_2017-11-01,40223_3_boar_2018-05-01,40223_4_boar_2018-09-01,40223_5_boar_2019-01-01,40223_6_boar_2019-07-01,40223_7_boar_2020-02-01,40223_8_boar_2020-02-01,40232040_0_cattle_2016-07-01,40232040_1_cattle_2016-03-01,40232040_2_cattle_2016-03-01,40232040_3_cattle_2015-11-01,40232040_4_cattle_2016-03-01,40232040_5_cattle_2016-07-01,40232040_6_cattle_2016-03-01,40232_3_boar_2017-05-01,40232_4_boar_2018-03-01,45_d500_160_0_badger_2009-05-01,45_d500_160_1_badger_2014-05-01,45_d500_187_0_badger_2013-07-01,45_d500_258_1_badger_2013-08-01,45_d500_258_2_badger_2016-07-01,45_d500_259_0_badger_2015-09-01,45_d500_259_1_badger_2014-04-01,45_d500_259_2_badger_2015-05-01,45_d500_99_866_2_badger_2010-10-01,64179004_1_cattle_2013-03-01,64254045_0_cattle_2013-03-01,64254045_1_cattle_2013-05-01,64254045_2_cattle_2013-05-01,64254045_3_cattle_2013-03-01,64254045_4_cattle_2013-03-01,64254045_5_cattle_2013-05-01,64254045_6_cattle_2013-05-01,64254045_7_cattle_2013-05-01,64254_0_boar_2012-03-01,64254_1_boar_2014-07-01,64254_2_boar_2013-09-01,64296002_0_cattle_2017-03-01,64296002_1_cattle_2017-03-01,64296002_2_cattle_2018-04-01,64296002_3_cattle_2018-07-01,64296002_4_cattle_2018-04-01,64296002_5_cattle_2018-04-01,64296002_6_cattle_2018-04-01,64296002_7_cattle_2018-07-01,64296002_8_cattle_2018-07-01,64296022_0_cattle_2014-04-01,64296_0_boar_2013-03-01,64296_1_boar_2016-12-01,64296_2_boar_2020-02-01,64310006_0_cattle_2011-05-01,64310006_10_cattle_2011-05-01,64310006_11_cattle_2011-05-01,64310006_12_cattle_2011-05-01,64310006_13_cattle_2011-05-01,64310006_14_cattle_2011-05-01,64310006_15_cattle_2011-05-01,64310006_16_cattle_2011-05-01,64310006_17_cattle_2011-05-01,64310006_18_cattle_2011-05-01,64310006_19_cattle_2011-05-01,64310006_1_cattle_2010-08-01,64310006_20_cattle_2011-01-01,64310006_21_cattle_2011-05-01,64310006_22_cattle_2011-05-01,64310006_23_cattle_2011-05-01,64310006_24_cattle_2011-05-01,64310006_25_cattle_2011-05-01,64310006_26_cattle_2011-05-01,64310006_27_cattle_2011-02-01,64310006_28_cattle_2011-05-01,64310006_29_cattle_2011-05-01,64310006_2_cattle_2011-05-01,64310006_30_cattle_2011-05-01,64310006_31_cattle_2011-05-01,64310006_32_cattle_2011-05-01,64310006_33_cattle_2011-04-01,64310006_34_cattle_2011-04-01,64310006_35_cattle_2011-05-01,64310006_36_cattle_2011-05-01,64310006_37_cattle_2011-05-01,64310006_38_cattle_2011-05-01,64310006_39_cattle_2011-05-01,64310006_3_cattle_2011-05-01,64310006_40_cattle_2011-05-01,64310006_41_cattle_2011-05-01,64310006_42_cattle_2011-05-01,64310006_43_cattle_2011-05-01,64310006_44_cattle_2011-05-01,64310006_45_cattle_2011-05-01,64310006_46_cattle_2011-05-01,64310006_47_cattle_2011-05-01,64310006_48_cattle_2011-05-01,64310006_49_cattle_2011-05-01,64310006_4_cattle_2011-05-01,64310006_5_cattle_2011-05-01,64310006_6_cattle_2010-02-01,64310006_7_cattle_2011-05-01,64310006_8_cattle_2011-05-01,64310006_9_cattle_2011-05-01,64310_0_boar_2009-07-01,64310_1_boar_2011-09-01,64310_2_boar_2009-10-01,64310_3_boar_2010-03-01,64310_4_boar_2009-10-01,64310_5_boar_2010-03-01,64310_6_boar_2011-01-01,64310_7_boar_2011-02-01,64310_8_boar_2012-03-01,64310_9_boar_2013-01-01,64382024_0_cattle_2016-05-01,64382024_1_cattle_2018-02-01,64382024_2_cattle_2018-03-01,64382_0_boar_2016-08-01,64382_1_boar_2017-09-01,64382_2_boar_2019-10-01,64420009_0_cattle_2008-10-01,64420012_3_cattle_2013-12-01,64420015_0_cattle_2007-05-01,64501025_0_cattle_2017-02-01,64501025_10_cattle_2017-05-01,64501025_11_cattle_2017-05-01,64501025_12_cattle_2017-05-01,64501025_13_cattle_2017-05-01,64501025_14_cattle_2017-05-01,64501025_15_cattle_2017-05-01,64501025_16_cattle_2017-05-01,64501025_17_cattle_2017-05-01,64501025_18_cattle_2017-05-01,64501025_19_cattle_2017-05-01,64501025_1_cattle_2017-03-01,64501025_20_cattle_2017-05-01,64501025_21_cattle_2017-05-01,64501025_2_cattle_2017-05-01,64501025_3_cattle_2017-05-01,64501025_4_cattle_2017-05-01,64501025_5_cattle_2017-05-01,64501025_6_cattle_2017-05-01,64501025_7_cattle_2017-05-01,64501025_8_cattle_2017-05-01,64501025_9_cattle_2017-05-01,64501_5_boar_2020-02-01,64501_6_boar_2018-01-01,64501_8_boar_2019-09-01,64501_9_boar_2017-11-01,64505014_0_cattle_2013-04-01,64505014_10_cattle_2013-04-01,64505014_11_cattle_2013-02-01,64505014_12_cattle_2013-04-01,64505014_1_cattle_2013-02-01,64505014_2_cattle_2013-04-01,64505014_3_cattle_2013-04-01,64505014_4_cattle_2013-01-01,64505014_5_cattle_2013-04-01,64505014_6_cattle_2013-02-01,64505014_7_cattle_2013-02-01,64505014_8_cattle_2013-02-01,64505014_9_cattle_2013-02-01,64510_4_boar_2015-07-01,64510_6_boar_2018-09-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0717856428714258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0,0,0.007198560287942414,0,0,0,0,0,0.014997000599880001,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0.0027994401119776045,0.0031993601279744054,0,0.0019996000799840027,0.0019996000799840027,0.0019996000799840027,0.002199560087982403,0.007598480303939215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0.007798440311937616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024395120975804784,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0.014197160567886403,0,0.002599480103979204,0,0.022395520895820788,0,0,0,0,0,0.2729454109178196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0.006198760247950412,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009198160367926414,0,0,0,0,0,0,0,0,0,0,0,0.12497500499900194,0,0,0,0,0,0,0,0,0.002999400119976005,0,0,0,0.07878424315137003,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.012997400519896006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15336932613477566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056788642271545516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0
0,0,0,0,0.02639472105578878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0.024995000999799982,0.0035992801439712063,0.009398120375924813,0.0035992801439712063,0.0017996400719856025,0,0.03679264147170556,0.03579284143171356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08858228354329195,0,0,0,0.17696460707858763,0,0,0,0,0,0,0,0,0,0,0,0.11837632473505452,0,0,0.19236152769446493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03559288142371516,0,0,0.008998200359928014,0.02179564087182559,0,0,0,0,0,0.002199560087982403,0,0,0.04159168166366715,0.04559088182363514,0,0,0,0,0,0,0,0,0.05098980203959193,0.0031993601279744054,0,0,0.06818636272745449,0.037592481503699156,0.0017996400719856025,0,0,0,0.002199560087982403,0,0,0.0017996400719856025,9.998000399920016e-4,0.03019396120775837,3.999200159968006e-4,0,0,0,0.002199560087982403,3.999200159968006e-4,0.002199560087982403,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012397520495900807,0,0,0,0,0,0,0,0,0,0,0,0,0.45990801839630374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05598880223955192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0.0027994401119776045,0,0.04419116176764634,0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0,0,0.0165966806638672,0,0.019996000799839993,0,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0.047190561887622336,0,0,0,0,0,0,0,0,0,0,0,0,0.02139572085582879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03499300139971996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0.008598280343931215,0.04579084183163354,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0,0,0,0,0.25354929014197686,0,0.006398720255948813,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0.03019396120775837,0,0,0,0,0,0,0,0,0,0,0,0,0.007398520295940815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023795240951809585,0.027394521095780777,7.998400319936012e-4,0.004799040191961609,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0.0017996400719856025,0,0,0.0017996400719856025,0,5.998800239952009e-4,0,0,0,0,5.998800239952009e-4,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0.0045990801839632086,0.011397720455908809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0.0023995200959808036,0,0,0,0,3.999200159968006e-4,0,0,0,0.0167966406718656,0,0,0,0,0.0017996400719856025,3.999200159968006e-4,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0.004399120175964808,0,0,0,0,0.003999200159968007,0,0,0.019596080783843194,0.0045990801839632086,0,0.0045990801839632086,0.003399320135972806,0,0.0045990801839632086,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,9.998000399920016e-4,0,0,0.006198760247950412,0.0017996400719856025,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011597680463907209,0,0,0,0.0011997600479904018,0,0,0,0.003999200159968007,0.008598280343931215,0,0,0,0,0,0,0,0,0.0049990001999600095,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0.0049990001999600095,0.22295540891822113,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02099580083983199,0.0067986402719456135,0.002999400119976005,0.006998600279944014,0.024395120975804784,0.003399320135972806,0.007398520295940815,0.0067986402719456135,0.03679264147170556,0.006998600279944014,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07758448310337959,0,0,0,0,0,0,0,0,0,0,0.07058588282343536,0,0,0,0,0,0,0,0,0,0,0,0.1913617276544729,0,0,0.08018396320735888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
