45_d500_105_726_0_badger_2015-08-01,45_d500_105_726_1_badger_2018-08-01,45_d500_105_726_2_badger_2015-08-01,45_d500_151_0_badger_2020-02-01,45_d500_152_0_badger_2015-03-01,45_d500_152_1_badger_2015-08-01,45_d500_155_880_0_badger_2020-02-01,45_d500_155_880_1_badger_2015-06-01,45_d500_156_0_badger_2015-05-01,45_d500_157_858_0_badger_2012-09-01,45_d500_157_858_1_badger_2009-07-01,45_d500_157_858_2_badger_2016-07-01,45_d500_157_858_3_badger_2012-09-01,45_d500_157_858_4_badger_2018-07-01,45_d500_159_855_0_badger_2012-11-01,45_d500_182_0_badger_2014-06-01,45_d500_57_715_0_badger_2015-09-01,45_d500_99_766_0_badger_2014-07-01,49_d500_33_2087_0_badger_2016-06-01,64281001_0_cattle_2020-02-01,64281001_1_cattle_2020-02-01,64281001_2_cattle_2020-02-01,64281001_3_cattle_2020-02-01,64281008_0_cattle_2020-02-01,64281_0_boar_2020-02-01,64281_1_boar_2020-02-01,64326020_0_cattle_2013-03-01,64326020_1_cattle_2013-03-01,64349068_0_cattle_2015-04-01,64349068_1_cattle_2015-06-01,64349068_2_cattle_2015-06-01,64349_0_boar_2016-05-01,64349_1_boar_2015-12-01,64349_2_boar_2015-10-01,64359189_0_cattle_2012-03-01,64359189_10_cattle_2012-03-01,64359189_11_cattle_2013-03-01,64359189_12_cattle_2013-03-01,64359189_13_cattle_2013-03-01,64359189_14_cattle_2013-03-01,64359189_15_cattle_2013-03-01,64359189_16_cattle_2013-03-01,64359189_17_cattle_2013-03-01,64359189_18_cattle_2013-03-01,64359189_19_cattle_2013-03-01,64359189_1_cattle_2013-03-01,64359189_20_cattle_2013-03-01,64359189_21_cattle_2013-03-01,64359189_22_cattle_2013-03-01,64359189_23_cattle_2013-03-01,64359189_24_cattle_2013-03-01,64359189_25_cattle_2013-03-01,64359189_26_cattle_2013-03-01,64359189_27_cattle_2013-03-01,64359189_28_cattle_2013-03-01,64359189_29_cattle_2013-03-01,64359189_2_cattle_2013-03-01,64359189_30_cattle_2013-03-01,64359189_31_cattle_2013-03-01,64359189_32_cattle_2013-03-01,64359189_33_cattle_2013-03-01,64359189_34_cattle_2013-03-01,64359189_35_cattle_2013-03-01,64359189_36_cattle_2013-03-01,64359189_37_cattle_2014-12-01,64359189_38_cattle_2017-01-01,64359189_39_cattle_2017-01-01,64359189_3_cattle_2013-03-01,64359189_4_cattle_2013-03-01,64359189_5_cattle_2013-03-01,64359189_6_cattle_2012-03-01,64359189_7_cattle_2013-03-01,64359189_8_cattle_2013-03-01,64359189_9_cattle_2013-02-01,64359_0_boar_2010-07-01,64359_10_boar_2013-06-01,64359_12_boar_2018-12-01,64359_13_boar_2016-12-01,64359_14_boar_2017-06-01,64359_15_boar_2018-04-01,64359_1_boar_2012-09-01,64359_2_boar_2011-10-01,64359_3_boar_2013-04-01,64359_4_boar_2014-03-01,64359_5_boar_2015-05-01,64359_6_boar_2012-02-01,64359_7_boar_2012-02-01,64359_8_boar_2014-01-01,64359_9_boar_2014-01-01,64420002_0_cattle_2012-05-01,64420002_10_cattle_2012-05-01,64420002_11_cattle_2012-05-01,64420002_12_cattle_2012-05-01,64420002_13_cattle_2012-07-01,64420002_14_cattle_2012-04-01,64420002_15_cattle_2012-05-01,64420002_16_cattle_2012-07-01,64420002_17_cattle_2012-07-01,64420002_18_cattle_2012-05-01,64420002_19_cattle_2012-07-01,64420002_1_cattle_2012-05-01,64420002_20_cattle_2012-07-01,64420002_21_cattle_2012-05-01,64420002_22_cattle_2016-01-01,64420002_23_cattle_2016-01-01,64420002_2_cattle_2012-05-01,64420002_3_cattle_2012-05-01,64420002_4_cattle_2012-05-01,64420002_5_cattle_2012-05-01,64420002_6_cattle_2012-07-01,64420002_7_cattle_2012-07-01,64420002_8_cattle_2012-05-01,64420002_9_cattle_2012-05-01,64420012_0_cattle_2019-10-01,64420012_1_cattle_2019-11-01,64420012_2_cattle_2019-11-01,64420015_0_cattle_2008-07-01,64420015_1_cattle_2008-06-01,64420015_2_cattle_2008-07-01,64420015_3_cattle_2008-07-01,64420028_0_cattle_2019-12-01,64420028_1_cattle_2020-02-01,64420035_0_cattle_2014-02-01,64420035_10_cattle_2020-02-01,64420035_11_cattle_2020-02-01,64420035_12_cattle_2020-02-01,64420035_13_cattle_2020-02-01,64420035_14_cattle_2020-02-01,64420035_15_cattle_2020-02-01,64420035_1_cattle_2014-02-01,64420035_2_cattle_2016-03-01,64420035_3_cattle_2016-05-01,64420035_4_cattle_2019-02-01,64420035_5_cattle_2018-12-01,64420035_6_cattle_2018-12-01,64420035_7_cattle_2019-02-01,64420035_8_cattle_2020-02-01,64420035_9_cattle_2020-02-01,64420038_0_cattle_2016-01-01,64420038_1_cattle_2020-02-01,64420038_2_cattle_2020-02-01,64420038_3_cattle_2020-02-01,64420039_0_cattle_2012-05-01,64420039_10_cattle_2012-05-01,64420039_11_cattle_2012-05-01,64420039_12_cattle_2012-05-01,64420039_13_cattle_2012-05-01,64420039_14_cattle_2020-02-01,64420039_15_cattle_2020-02-01,64420039_16_cattle_2020-02-01,64420039_17_cattle_2020-02-01,64420039_18_cattle_2020-02-01,64420039_19_cattle_2020-02-01,64420039_1_cattle_2012-05-01,64420039_20_cattle_2020-02-01,64420039_21_cattle_2020-02-01,64420039_22_cattle_2020-02-01,64420039_23_cattle_2020-02-01,64420039_24_cattle_2020-02-01,64420039_2_cattle_2012-05-01,64420039_3_cattle_2012-05-01,64420039_4_cattle_2012-05-01,64420039_5_cattle_2012-05-01,64420039_6_cattle_2012-04-01,64420039_7_cattle_2012-05-01,64420039_8_cattle_2012-05-01,64420039_9_cattle_2012-05-01,64420042_0_cattle_2015-02-01,64420042_10_cattle_2016-02-01,64420042_11_cattle_2016-02-01,64420042_12_cattle_2016-02-01,64420042_13_cattle_2016-02-01,64420042_14_cattle_2016-02-01,64420042_15_cattle_2016-02-01,64420042_16_cattle_2016-02-01,64420042_17_cattle_2016-02-01,64420042_18_cattle_2016-02-01,64420042_19_cattle_2016-02-01,64420042_1_cattle_2016-02-01,64420042_20_cattle_2016-02-01,64420042_21_cattle_2016-02-01,64420042_22_cattle_2016-02-01,64420042_23_cattle_2019-02-01,64420042_2_cattle_2015-02-01,64420042_3_cattle_2015-02-01,64420042_4_cattle_2016-02-01,64420042_5_cattle_2016-02-01,64420042_6_cattle_2016-01-01,64420042_7_cattle_2016-02-01,64420042_8_cattle_2016-02-01,64420042_9_cattle_2016-02-01,64420044_0_cattle_2019-12-01,64420044_1_cattle_2019-12-01,64420047_0_cattle_2019-12-01,64420047_1_cattle_2020-02-01,64420047_2_cattle_2019-12-01,64420047_3_cattle_2019-12-01,64420047_4_cattle_2020-02-01,64420047_5_cattle_2020-02-01,64420047_6_cattle_2019-12-01,64420047_7_cattle_2020-02-01,64420047_8_cattle_2019-12-01,64427016_0_cattle_2014-01-01,64427016_10_cattle_2015-01-01,64427016_11_cattle_2015-03-01,64427016_1_cattle_2014-01-01,64427016_2_cattle_2013-12-01,64427016_3_cattle_2014-01-01,64427016_4_cattle_2014-01-01,64427016_5_cattle_2014-01-01,64427016_6_cattle_2015-01-01,64427016_7_cattle_2015-01-01,64427016_8_cattle_2015-01-01,64427016_9_cattle_2015-01-01,64428005_0_cattle_2015-06-01,64428005_10_cattle_2015-06-01,64428005_11_cattle_2015-06-01,64428005_12_cattle_2015-06-01,64428005_13_cattle_2015-06-01,64428005_14_cattle_2015-06-01,64428005_1_cattle_2015-06-01,64428005_2_cattle_2015-05-01,64428005_3_cattle_2015-06-01,64428005_4_cattle_2015-06-01,64428005_5_cattle_2015-06-01,64428005_6_cattle_2015-06-01,64428005_7_cattle_2015-06-01,64428005_8_cattle_2015-06-01,64428005_9_cattle_2015-06-01,64428013_0_cattle_2015-02-01,64428013_10_cattle_2015-02-01,64428013_11_cattle_2015-02-01,64428013_12_cattle_2015-02-01,64428013_1_cattle_2015-02-01,64428013_2_cattle_2015-02-01,64428013_3_cattle_2015-02-01,64428013_4_cattle_2015-02-01,64428013_5_cattle_2015-02-01,64428013_6_cattle_2015-02-01,64428013_7_cattle_2015-01-01,64428013_8_cattle_2015-02-01,64428013_9_cattle_2015-02-01,64428022_0_cattle_2015-04-01,64428022_10_cattle_2015-04-01,64428022_11_cattle_2015-04-01,64428022_12_cattle_2015-04-01,64428022_13_cattle_2015-04-01,64428022_14_cattle_2015-04-01,64428022_15_cattle_2015-04-01,64428022_16_cattle_2015-04-01,64428022_17_cattle_2015-04-01,64428022_18_cattle_2015-04-01,64428022_19_cattle_2015-04-01,64428022_1_cattle_2015-04-01,64428022_20_cattle_2015-04-01,64428022_21_cattle_2015-04-01,64428022_22_cattle_2015-04-01,64428022_23_cattle_2015-04-01,64428022_24_cattle_2015-04-01,64428022_25_cattle_2015-04-01,64428022_26_cattle_2015-04-01,64428022_27_cattle_2015-04-01,64428022_28_cattle_2015-03-01,64428022_29_cattle_2015-04-01,64428022_2_cattle_2015-04-01,64428022_30_cattle_2015-03-01,64428022_31_cattle_2015-04-01,64428022_32_cattle_2015-04-01,64428022_33_cattle_2015-04-01,64428022_34_cattle_2015-04-01,64428022_35_cattle_2015-04-01,64428022_3_cattle_2015-04-01,64428022_4_cattle_2015-04-01,64428022_5_cattle_2015-04-01,64428022_6_cattle_2015-04-01,64428022_7_cattle_2015-04-01,64428022_8_cattle_2015-04-01,64428022_9_cattle_2015-04-01,64459003_0_cattle_2013-12-01,64459003_1_cattle_2019-02-01,64556034_0_cattle_2018-07-01,64556034_1_cattle_2018-06-01,64556034_2_cattle_2018-07-01,64556034_3_cattle_2018-07-01,64556034_4_cattle_2018-07-01,64556044_0_cattle_2018-04-01,64556044_1_cattle_2018-02-01,64556_1_boar_2020-02-01,64556_2_boar_2020-02-01,64556_3_boar_2019-01-01,64556_4_boar_2020-02-01,64556_5_boar_2018-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018596280743851196,0,0,0.016996600679864,0,0,0,0,0,0,1.999600079984003e-4,0.002599480103979204,0.0023995200959808036,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017596480703859198,0,3.999200159968006e-4,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,1.999600079984003e-4,5.998800239952009e-4,0,0,0,0,0,0,0.002999400119976005,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0.02199560087982399,0.024995000999799982,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011397720455908809,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0.006998600279944014,0.0019996000799840027,0.004399120175964808,0,0,0,0,0,0.0067986402719456135,0.0067986402719456135,0.005798840231953611,0,0.015196960607878401,0,0,0.0023995200959808036,0.006198760247950412,0,0,0,0,0,0,0.0017996400719856025,0,0,1.999600079984003e-4,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0.0019996000799840027,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013197360527894405,0.004399120175964808,0.008998200359928014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012197560487902407,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0.009198160367926414,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0.051989602079583926,0,0.007598480303939215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032793441311737566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0.05138972205558873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0,0.008798240351929614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013597280543891204,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.10277944411117881,0,0.18296340731853983,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.004399120175964808,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0.002599480103979204,0.0011997600479904018,0,0,0,0,0.002999400119976005,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0.00539892021595681,0.0031993601279744054,7.998400319936012e-4,0,0.001399720055988802,0.006398720255948813,0,0,0,0.18676264747050955,0,0,0,0,0,0,0,0.0045990801839632086,0.0011997600479904018,7.998400319936012e-4,0,0,0,0,3.999200159968006e-4,0,0,0,0.004199160167966408,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,1.999600079984003e-4,0.1513697260547916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0.0037992401519696068,0,1.999600079984003e-4,3.999200159968006e-4,0,0.19676064787042988,0.002999400119976005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05978804239152151,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0.009198160367926414,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0.019196160767846394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012597480503899207,0,0,0.02139572085582879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05438912217556472,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009798040391921612,1.999600079984003e-4,0,0.0023995200959808036,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.0011997600479904018,0.005798840231953611,0,0.006998600279944014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010397920415916811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0.011797640471905608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02099580083983199,0,0,0,0,0,0,0.0015996800639872023,0.07018596280743855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.009198160367926414,0,0,0,0,0,0.0017996400719856025,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,1.999600079984003e-4,0,3.999200159968006e-4,0,0,0.003399320135972806,0,0.04399120175964794,0,0,0,0,0.003399320135972806,0.002599480103979204,0.0031993601279744054,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0.0011997600479904018,0,0,0,0,0,0.003399320135972806,0,0.005998800239952012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.004399120175964808,0,0,0.002599480103979204,0,0.0023995200959808036,0,0.06038792241551671,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009798040391921612,0,0.005798840231953611,0,0.003399320135972806,0.005998800239952012,0,0.005598880223955211,0,0.004399120175964808,0,0.00539892021595681,0.007398520295940815,0.009998000399920012,0,0.0011997600479904018,0,0.00539892021595681,0.0015996800639872023,0,0,0.0023995200959808036,0.0011997600479904018,0,0.0027994401119776045,0,0.004199160167966408,0.001399720055988802,0.007398520295940815,0,0,0,0,0,0.0049990001999600095,0.008998200359928014,0.006398720255948813,0,0,0.005998800239952012,0,0,0,0,0,0.0023995200959808036,0.0167966406718656,0.0011997600479904018,0,0,0.01079784043191361,0.02079584083183359,0,0,0.00519896020795841,5.998800239952009e-4,0.004199160167966408,5.998800239952009e-4,0,0,0,0,0,0.014997000599880001,0,0.0017996400719856025,0,0.0017996400719856025,0,0,0.0015996800639872023,0,0,0,1.999600079984003e-4,0.003999200159968007,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.001399720055988802,7.998400319936012e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0.014197160567886403,0,0,0,0,0,0,0.008198360327934416,0.00519896020795841,0.001399720055988802,0.41651669666065555,0.010197960407918412,0.002199560087982403,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3829234153169279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838832233553271,0,0.10117976404719156,0.03059388122375517,0.037392521495700756,0.0747850429914019,0.025194961007798382,0.011597680463907209,0.006998600279944014,0,0,0,0.002599480103979204,0,0,0,0.08498300339932063,0.024195160967806384,0.03419316136772636,0.03219356128774237,0,0,0,0.10317936412717563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07698460307938437,0.06598680263947201,0,0,0.0167966406718656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
